Time,States,Approximation,Prob dropped,Pruning step,,Memory,,No of new states in steps
1.00E-02,3.00E+00,9.82E-01,1.75E-02,1.00E+00,,3.00E+01,,3.00E+00
2.00E-02,7.00E+00,9.79E-01,2.10E-02,1.00E+00,,70,,4
3.00E-02,1.20E+01,9.78E-01,2.18E-02,1.00E+00,,120,,5
4.00E-02,1.90E+01,9.78E-01,2.20E-02,1.00E+00,,190,,7
5.00E-02,2.70E+01,9.78E-01,2.21E-02,1.00E+00,,270,,8
6.00E-02,3.50E+01,9.78E-01,2.21E-02,1.00E+00,,350,,8
7.00E-02,4.20E+01,9.78E-01,2.21E-02,1.00E+00,,420,,7
8.00E-02,4.80E+01,9.78E-01,2.21E-02,1.00E+00,,480,,6
9.00E-02,5.30E+01,9.78E-01,2.21E-02,1.00E+00,,530,,5
1.00E-01,5.30E+01,9.78E-01,2.21E-02,1.00E+00,,530,,0
1.10E-01,5.70E+01,9.78E-01,2.21E-02,1.00E+00,,570,,4
1.20E-01,5.70E+01,9.78E-01,2.21E-02,1.00E+00,,570,,0
1.30E-01,5.70E+01,9.78E-01,2.21E-02,1.00E+00,,570,,0
1.40E-01,6.00E+01,9.78E-01,2.21E-02,1.00E+00,,600,,3
1.50E-01,6.00E+01,9.78E-01,2.21E-02,1.00E+00,,600,,0
1.60E-01,6.00E+01,9.78E-01,2.21E-02,1.00E+00,,600,,0
1.70E-01,6.00E+01,9.78E-01,2.21E-02,1.00E+00,,600,,0
1.80E-01,6.00E+01,9.78E-01,2.21E-02,1.00E+00,,600,,0
1.90E-01,6.20E+01,9.78E-01,2.21E-02,1.00E+00,,620,,2
2.00E-01,6.20E+01,9.78E-01,2.21E-02,1.00E+00,,620,,0
2.10E-01,6.20E+01,9.78E-01,2.21E-02,1.00E+00,,620,,0
2.20E-01,6.20E+01,9.78E-01,2.21E-02,1.00E+00,,620,,0
2.30E-01,6.20E+01,9.78E-01,2.21E-02,1.00E+00,,620,,0
2.40E-01,6.20E+01,9.78E-01,2.21E-02,1.00E+00,,620,,0
2.50E-01,6.40E+01,9.78E-01,2.21E-02,1.00E+00,,640,,2
2.60E-01,6.40E+01,9.78E-01,2.21E-02,1.00E+00,,640,,0
2.70E-01,6.40E+01,9.78E-01,2.21E-02,1.00E+00,,640,,0
2.80E-01,6.40E+01,9.78E-01,2.21E-02,1.00E+00,,640,,0
2.90E-01,6.40E+01,9.78E-01,2.21E-02,1.00E+00,,640,,0
3.00E-01,6.40E+01,9.78E-01,2.21E-02,1.00E+00,,640,,0
3.10E-01,6.40E+01,9.78E-01,2.21E-02,1.00E+00,,640,,0
3.20E-01,6.40E+01,9.78E-01,2.21E-02,1.00E+00,,640,,0
3.30E-01,6.40E+01,9.78E-01,2.21E-02,1.00E+00,,640,,0
3.40E-01,6.40E+01,9.78E-01,2.21E-02,1.00E+00,,640,,0
3.50E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,1
3.60E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
3.70E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
3.80E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
3.90E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
4.00E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
4.10E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
4.20E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
4.30E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
4.40E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
4.50E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
4.60E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
4.70E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
4.80E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
4.90E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
5.00E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
5.10E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
5.20E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
5.30E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
5.40E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
5.50E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
5.60E-01,6.50E+01,9.78E-01,2.21E-02,1.00E+00,,650,,0
5.70E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,1
5.80E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
5.90E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
6.00E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
6.10E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
6.20E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
6.30E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
6.40E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
6.50E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
6.60E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
6.70E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
6.80E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
6.90E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
7.00E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
7.10E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
7.20E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
7.30E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
7.40E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
7.50E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
7.60E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
7.70E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
7.80E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
7.90E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
8.00E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
8.10E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
8.20E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
8.30E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
8.40E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
8.50E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
8.60E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
8.70E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
8.80E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
8.90E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
9.00E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
9.10E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
9.20E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
9.30E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
9.40E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
9.50E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
9.60E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
9.70E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
9.80E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
9.90E-01,6.60E+01,9.78E-01,2.21E-02,1.00E+00,,660,,0
